[INFO] [1751366152.015352323] [minimal_publisher]: TIME: 7.732320 ms, Objects detected: 14
[INFO] [1751366152.249376394] [minimal_publisher]: TIME: 6.884352 ms, Objects detected: 14
[INFO] [1751366152.435483563] [minimal_publisher]: TIME: 6.989760 ms, Objects detected: 14
[INFO] [1751366152.671570117] [minimal_publisher]: TIME: 7.072672 ms, Objects detected: 14
[INFO] [1751366152.885614782] [minimal_publisher]: TIME: 6.362112 ms, Objects detected: 14
[INFO] [1751366153.070382052] [minimal_publisher]: TIME: 7.312800 ms, Objects detected: 20
[INFO] [1751366153.301872768] [minimal_publisher]: TIME: 7.433056 ms, Objects detected: 19
[INFO] [1751366153.485015597] [minimal_publisher]: TIME: 5.866336 ms, Objects detected: 16
[INFO] [1751366153.703927540] [minimal_publisher]: TIME: 7.135424 ms, Objects detected: 16
[INFO] [1751366153.895904344] [minimal_publisher]: TIME: 7.030848 ms, Objects detected: 14
[INFO] [1751366154.110561357] [minimal_publisher]: TIME: 5.858688 ms, Objects detected: 15
[INFO] [1751366154.298120097] [minimal_publisher]: TIME: 6.434592 ms, Objects detected: 14
[INFO] [1751366154.515121054] [minimal_publisher]: TIME: 6.772256 ms, Objects detected: 17
[INFO] [1751366154.708336374] [minimal_publisher]: TIME: 7.169408 ms, Objects detected: 13
[INFO] [1751366154.911575783] [minimal_publisher]: TIME: 7.316192 ms, Objects detected: 15
[INFO] [1751366155.094016931] [minimal_publisher]: TIME: 6.346752 ms, Objects detected: 11
[INFO] [1751366155.288880707] [minimal_publisher]: TIME: 5.805152 ms, Objects detected: 15
[INFO] [1751366155.506135400] [minimal_publisher]: TIME: 7.263520 ms, Objects detected: 16
[INFO] [1751366155.686182330] [minimal_publisher]: TIME: 5.870304 ms, Objects detected: 12
[INFO] [1751366155.900913099] [minimal_publisher]: TIME: 8.082432 ms, Objects detected: 15
[INFO] [1751366156.077587565] [minimal_publisher]: TIME: 7.619584 ms, Objects detected: 15
[INFO] [1751366156.285443004] [minimal_publisher]: TIME: 5.821056 ms, Objects detected: 14
[INFO] [1751366156.466473128] [minimal_publisher]: TIME: 7.688512 ms, Objects detected: 16
[INFO] [1751366156.640800208] [minimal_publisher]: TIME: 7.007232 ms, Objects detected: 13
[INFO] [1751366156.844470881] [minimal_publisher]: TIME: 5.823488 ms, Objects detected: 17
[INFO] [1751366157.039746577] [minimal_publisher]: TIME: 6.189952 ms, Objects detected: 10
[INFO] [1751366157.218170596] [minimal_publisher]: TIME: 7.459232 ms, Objects detected: 14
[INFO] [1751366157.391420032] [minimal_publisher]: TIME: 7.249504 ms, Objects detected: 13
[INFO] [1751366157.589606032] [minimal_publisher]: TIME: 7.238656 ms, Objects detected: 13
[INFO] [1751366157.753868403] [minimal_publisher]: TIME: 5.817568 ms, Objects detected: 13
[INFO] [1751366157.958467355] [minimal_publisher]: TIME: 7.137440 ms, Objects detected: 15
[INFO] [1751366158.125161718] [minimal_publisher]: TIME: 5.824512 ms, Objects detected: 13
[INFO] [1751366158.322711598] [minimal_publisher]: TIME: 6.909856 ms, Objects detected: 13
